TRIGGER_NUM µ_Z_H06 PI_50% PI_90% µ_Z_L08 PI_50% PI_90% µ_Z_B10 PI_50% PI_90%
105 0.47 [0.31,0.59] [0.18,0.91] 0.45 [0.38,0.51] [0.30,0.65] 0.72 [0.44,0.92] [0.24,1.43]
204 1.00 [0.77,1.18] [0.52,1.60] 1.11 [0.97,1.24] [0.79,1.48] 1.26 [0.90,1.52] [0.59,2.24]
211 1.68 [1.19,2.05] [0.81,2.90] 2.32 [2.02,2.59] [1.58,3.08] 2.62 [1.85,3.27] [1.17,4.40]
214 1.30 [0.95,1.57] [0.62,2.25] 1.70 [1.48,1.89] [1.16,2.27] 2.15 [1.45,2.71] [0.90,3.91]
219 0.69 [0.48,0.85] [0.30,1.23] 0.68 [0.59,0.75] [0.47,0.93] 1.17 [0.77,1.44] [0.45,2.25]
222 0.97 [0.73,1.15] [0.48,1.63] 1.08 [0.96,1.19] [0.78,1.42] 1.52 [1.02,1.88] [0.65,2.84]
223 1.09 [0.82,1.30] [0.54,1.81] 1.39 [1.21,1.56] [0.96,1.85] 1.41 [0.97,1.72] [0.62,2.59]
226 2.30 [1.68,2.81] [1.09,3.91] 2.94 [2.61,3.27] [2.08,3.80] 3.75 [2.90,4.40] [1.94,6.03]
228 0.89 [0.65,1.07] [0.41,1.48] 1.05 [0.92,1.16] [0.73,1.39] 1.19 [0.80,1.47] [0.49,2.24]
235 1.53 [1.11,1.85] [0.77,2.59] 2.07 [1.81,2.31] [1.42,2.71] 2.25 [1.57,2.79] [1.01,3.93]
237 1.03 [0.79,1.22] [0.52,1.68] 1.22 [1.07,1.36] [0.85,1.60] 1.33 [0.93,1.63] [0.60,2.40]
249 0.59 [0.39,0.75] [0.24,1.11] 0.53 [0.46,0.59] [0.36,0.75] 1.09 [0.71,1.35] [0.40,2.12]
257 1.45 [1.07,1.72] [0.74,2.48] 1.74 [1.52,1.94] [1.21,2.31] 2.44 [1.72,3.04] [1.09,4.19]
288 1.84 [1.31,2.24] [0.90,3.13] 2.52 [2.22,2.81] [1.75,3.29] 2.77 [2.01,3.43] [1.29,4.55]
332 1.33 [0.97,1.59] [0.66,2.27] 1.68 [1.48,1.86] [1.17,2.21] 2.17 [1.49,2.71] [0.94,3.89]
351 2.35 [1.70,2.88] [1.10,4.02] 2.98 [2.64,3.31] [2.12,3.85] 3.90 [3.02,4.58] [2.04,6.32]
394 1.51 [1.08,1.80] [0.74,2.67] 1.75 [1.53,1.94] [1.22,2.33] 2.92 [2.11,3.61] [1.31,4.84]
398 1.20 [0.90,1.42] [0.59,2.02] 1.45 [1.27,1.60] [1.02,1.90] 1.94 [1.31,2.42] [0.84,3.57]
401 1.10 [0.82,1.32] [0.54,1.84] 1.44 [1.25,1.63] [0.97,1.93] 1.37 [0.95,1.68] [0.60,2.51]
404 1.70 [1.21,2.05] [0.83,2.93] 2.24 [1.98,2.50] [1.56,2.95] 2.78 [2.01,3.45] [1.27,4.60]
408 1.56 [1.11,1.88] [0.75,2.71] 1.99 [1.76,2.21] [1.39,2.62] 2.72 [1.93,3.39] [1.21,4.55]
414 1.03 [0.77,1.23] [0.50,1.72] 1.27 [1.11,1.42] [0.89,1.69] 1.42 [0.97,1.75] [0.60,2.64]
451 0.58 [0.39,0.72] [0.23,1.08] 0.56 [0.48,0.62] [0.38,0.79] 0.97 [0.62,1.21] [0.34,1.92]
465 1.35 [0.98,1.64] [0.67,2.30] 1.89 [1.65,2.12] [1.28,2.50] 1.86 [1.27,2.30] [0.82,3.39]
467 0.70 [0.50,0.85] [0.32,1.19] 0.66 [0.57,0.74] [0.46,0.91] 0.98 [0.68,1.20] [0.41,1.79]
469 0.77 [0.57,0.94] [0.36,1.30] 0.78 [0.68,0.86] [0.55,1.05] 1.12 [0.77,1.38] [0.47,2.08]
472 1.83 [1.29,2.24] [0.87,3.19] 2.44 [2.15,2.71] [1.70,3.19] 3.07 [2.25,3.76] [1.43,5.00]
473 1.48 [1.06,1.79] [0.72,2.54] 2.00 [1.76,2.24] [1.38,2.64] 2.33 [1.60,2.92] [1.01,4.09]
493 0.87 [0.63,1.05] [0.39,1.47] 1.03 [0.90,1.14] [0.72,1.37] 1.19 [0.79,1.48] [0.47,2.28]
501 0.93 [0.70,1.11] [0.44,1.55] 1.09 [0.96,1.21] [0.77,1.45] 1.26 [0.86,1.55] [0.54,2.34]
516 1.18 [0.87,1.42] [0.55,2.02] 1.51 [1.31,1.69] [1.04,2.01] 1.85 [1.23,2.33] [0.77,3.49]
526 1.41 [1.02,1.72] [0.68,2.42] 1.98 [1.72,2.22] [1.33,2.61] 1.99 [1.36,2.48] [0.87,3.63]
540 0.93 [0.68,1.12] [0.42,1.57] 1.13 [0.98,1.26] [0.78,1.52] 1.29 [0.86,1.59] [0.52,2.43]
543 0.53 [0.36,0.65] [0.21,0.98] 0.50 [0.42,0.55] [0.33,0.70] 0.79 [0.50,0.99] [0.28,1.53]
548 1.19 [0.89,1.41] [0.58,2.02] 1.43 [1.26,1.59] [1.01,1.89] 2.00 [1.35,2.50] [0.84,3.67]
549 1.49 [1.08,1.81] [0.75,2.54] 2.08 [1.81,2.33] [1.41,2.72] 2.08 [1.44,2.58] [0.94,3.72]
559 1.93 [1.39,2.36] [0.94,3.31] 2.67 [2.31,3.01] [1.80,3.55] 2.81 [2.05,3.47] [1.32,4.60]
563 1.17 [0.87,1.40] [0.57,2.00] 1.41 [1.23,1.56] [0.99,1.85] 1.95 [1.31,2.43] [0.83,3.61]
577 1.58 [1.14,1.92] [0.79,2.72] 2.12 [1.86,2.37] [1.45,2.79] 2.51 [1.77,3.12] [1.12,4.26]
591 1.51 [1.09,1.82] [0.75,2.59] 2.00 [1.76,2.22] [1.39,2.62] 2.40 [1.68,3.01] [1.07,4.14]
594 1.41 [1.03,1.70] [0.71,2.40] 1.82 [1.60,2.04] [1.26,2.39] 2.19 [1.51,2.72] [0.97,3.89]
606 1.23 [0.91,1.48] [0.61,2.08] 1.54 [1.36,1.71] [1.08,2.02] 1.91 [1.29,2.37] [0.83,3.51]
630 1.46 [1.05,1.77] [0.71,2.51] 1.99 [1.75,2.21] [1.37,2.61] 2.27 [1.56,2.84] [0.98,4.00]
647 0.91 [0.67,1.08] [0.42,1.56] 0.97 [0.86,1.07] [0.69,1.28] 1.56 [1.03,1.94] [0.64,2.97]
658 1.20 [0.89,1.43] [0.59,2.02] 1.48 [1.30,1.65] [1.03,1.96] 1.86 [1.25,2.33] [0.80,3.45]
659 1.94 [1.37,2.37] [0.90,3.45] 2.47 [2.16,2.76] [1.72,3.29] 3.49 [2.62,4.16] [1.69,5.66]
660 0.81 [0.60,0.97] [0.39,1.36] 0.84 [0.74,0.94] [0.60,1.11] 1.17 [0.80,1.43] [0.50,2.16]
673 1.83 [1.29,2.24] [0.87,3.15] 2.60 [2.30,2.90] [1.80,3.37] 2.77 [2.00,3.45] [1.26,4.60]
676 1.10 [0.83,1.29] [0.55,1.86] 1.20 [1.06,1.32] [0.87,1.59] 1.90 [1.28,2.36] [0.82,3.51]
678 1.05 [0.78,1.24] [0.52,1.81] 1.06 [0.93,1.17] [0.75,1.42] 1.90 [1.28,2.37] [0.82,3.53]
680 1.01 [0.75,1.21] [0.47,1.70] 1.24 [1.08,1.38] [0.86,1.65] 1.47 [0.97,1.81] [0.60,2.79]
685 1.28 [0.94,1.55] [0.62,2.19] 1.66 [1.45,1.86] [1.13,2.21] 2.00 [1.36,2.50] [0.86,3.65]
686 1.11 [0.84,1.31] [0.55,1.84] 1.35 [1.18,1.50] [0.94,1.77] 1.57 [1.07,1.93] [0.68,2.92]
690 1.17 [0.86,1.41] [0.56,1.98] 1.58 [1.37,1.79] [1.06,2.12] 1.51 [1.02,1.85] [0.65,2.81]
692 1.39 [1.00,1.66] [0.68,2.39] 1.76 [1.55,1.96] [1.22,2.33] 2.37 [1.64,2.97] [1.02,4.14]
704 1.20 [0.90,1.43] [0.61,2.01] 1.46 [1.28,1.63] [1.03,1.92] 1.83 [1.25,2.27] [0.81,3.35]
717 1.50 [1.08,1.82] [0.72,2.56] 2.10 [1.84,2.34] [1.43,2.76] 2.23 [1.53,2.78] [0.97,3.93]
741 1.58 [1.13,1.92] [0.78,2.69] 2.23 [1.94,2.51] [1.50,2.95] 2.20 [1.53,2.72] [0.99,3.87]
752 0.92 [0.68,1.10] [0.43,1.52] 1.08 [0.95,1.20] [0.75,1.43] 1.21 [0.83,1.49] [0.51,2.27]
753 1.28 [0.94,1.55] [0.62,2.16] 1.70 [1.49,1.90] [1.16,2.24] 1.87 [1.26,2.33] [0.81,3.45]
755 0.99 [0.75,1.18] [0.49,1.63] 1.19 [1.04,1.32] [0.83,1.57] 1.26 [0.88,1.55] [0.56,2.31]
761 1.43 [1.04,1.71] [0.71,2.50] 1.70 [1.50,1.88] [1.19,2.25] 2.63 [1.85,3.29] [1.16,4.45]
764 1.25 [0.92,1.51] [0.60,2.15] 1.59 [1.40,1.77] [1.10,2.11] 2.04 [1.38,2.56] [0.86,3.74]
773 1.55 [1.10,1.88] [0.75,2.67] 2.05 [1.81,2.28] [1.42,2.71] 2.55 [1.79,3.19] [1.12,4.35]
795 1.37 [1.00,1.64] [0.68,2.33] 1.75 [1.55,1.94] [1.21,2.30] 2.20 [1.51,2.74] [0.97,3.91]
803 0.97 [0.73,1.16] [0.46,1.62] 1.14 [1.00,1.26] [0.80,1.50] 1.35 [0.92,1.65] [0.57,2.51]
815 1.64 [1.16,2.01] [0.78,2.88] 2.20 [1.93,2.45] [1.52,2.90] 2.78 [1.97,3.47] [1.23,4.65]
816 2.83 [2.09,3.51] [1.30,4.55] 3.66 [3.29,4.02] [2.67,4.68] 4.53 [3.49,5.30] [2.40,7.58]
820 1.48 [1.08,1.79] [0.75,2.50] 1.95 [1.70,2.18] [1.33,2.56] 2.17 [1.52,2.69] [0.98,3.82]
824 1.73 [1.22,2.12] [0.81,3.04] 2.31 [2.04,2.56] [1.60,3.04] 2.96 [2.14,3.67] [1.33,4.89]
825 2.16 [1.55,2.66] [1.02,3.67] 3.05 [2.71,3.41] [2.15,3.89] 3.19 [2.39,3.87] [1.57,5.11]
829 0.77 [0.55,0.95] [0.32,1.36] 0.84 [0.73,0.93] [0.58,1.12] 1.31 [0.85,1.64] [0.49,2.58]
840 1.02 [0.79,1.20] [0.53,1.65] 1.14 [0.99,1.26] [0.81,1.50] 1.37 [0.97,1.68] [0.63,2.46]
841 0.79 [0.58,0.97] [0.36,1.36] 0.85 [0.75,0.94] [0.60,1.13] 1.20 [0.81,1.49] [0.48,2.28]
869 1.13 [0.85,1.33] [0.57,1.90] 1.28 [1.13,1.42] [0.92,1.69] 1.88 [1.27,2.33] [0.82,3.45]
907 1.23 [0.91,1.47] [0.60,2.14] 1.44 [1.25,1.59] [1.01,1.92] 2.27 [1.55,2.84] [0.96,4.05]
914 0.76 [0.55,0.93] [0.34,1.29] 0.83 [0.72,0.93] [0.57,1.11] 1.07 [0.72,1.31] [0.42,2.01]
927 1.19 [0.88,1.43] [0.57,2.04] 1.54 [1.35,1.72] [1.05,2.06] 1.83 [1.21,2.28] [0.76,3.43]
938 1.24 [0.91,1.49] [0.60,2.14] 1.57 [1.38,1.75] [1.08,2.09] 2.03 [1.37,2.54] [0.86,3.74]
946 1.54 [1.12,1.86] [0.78,2.61] 2.13 [1.88,2.39] [1.47,2.79] 2.17 [1.52,2.69] [0.99,3.82]
973 1.10 [0.83,1.30] [0.55,1.89] 1.21 [1.07,1.33] [0.87,1.60] 1.99 [1.35,2.48] [0.85,3.65]
999 0.57 [0.39,0.70] [0.24,1.03] 0.51 [0.44,0.57] [0.34,0.72] 0.83 [0.55,1.03] [0.32,1.56]
1009 2.49 [1.81,3.06] [1.17,4.14] 3.33 [2.97,3.69] [2.37,4.23] 3.83 [2.95,4.48] [2.00,6.16]
1036 2.02 [1.43,2.46] [0.95,3.51] 2.70 [2.39,3.01] [1.90,3.53] 3.30 [2.46,3.98] [1.60,5.30]
1039 1.14 [0.84,1.36] [0.55,1.94] 1.39 [1.22,1.55] [0.97,1.85] 1.87 [1.24,2.34] [0.78,3.49]
1042 1.19 [0.88,1.43] [0.56,2.06] 1.50 [1.30,1.68] [1.03,2.00] 2.03 [1.35,2.56] [0.84,3.76]
1046 2.00 [1.43,2.45] [0.95,3.49] 2.64 [2.34,2.93] [1.86,3.45] 3.34 [2.51,4.02] [1.63,5.39]
1085 0.54 [0.35,0.67] [0.20,1.04] 0.51 [0.43,0.57] [0.34,0.72] 0.99 [0.62,1.24] [0.34,1.98]
1086 1.82 [1.28,2.24] [0.86,3.15] 2.63 [2.33,2.93] [1.81,3.43] 2.73 [1.96,3.41] [1.24,4.55]
1087 1.35 [0.99,1.63] [0.68,2.28] 1.79 [1.58,2.00] [1.23,2.36] 1.99 [1.37,2.46] [0.88,3.61]
1114 0.77 [0.55,0.95] [0.32,1.32] 0.88 [0.76,0.98] [0.60,1.17] 1.11 [0.73,1.38] [0.42,2.15]
1120 1.32 [0.97,1.60] [0.65,2.24] 1.83 [1.59,2.05] [1.23,2.42] 1.80 [1.23,2.22] [0.79,3.31]
1122 0.80 [0.57,0.97] [0.35,1.39] 0.83 [0.73,0.92] [0.59,1.11] 1.36 [0.90,1.69] [0.53,2.62]
1123 1.35 [0.99,1.63] [0.68,2.27] 1.81 [1.58,2.02] [1.24,2.37] 1.90 [1.31,2.36] [0.86,3.45]
1125 1.47 [1.06,1.79] [0.72,2.53] 2.04 [1.79,2.28] [1.40,2.67] 2.20 [1.51,2.74] [0.96,3.91]
1126 1.19 [0.90,1.42] [0.60,1.98] 1.49 [1.30,1.66] [1.03,1.96] 1.71 [1.17,2.11] [0.76,3.13]
1141 0.86 [0.62,1.04] [0.39,1.49] 0.89 [0.78,0.98] [0.62,1.18] 1.52 [1.00,1.89] [0.61,2.92]
1145 0.81 [0.60,0.98] [0.37,1.36] 0.91 [0.79,1.02] [0.63,1.22] 1.08 [0.74,1.33] [0.44,2.02]
1148 1.43 [1.05,1.71] [0.72,2.43] 1.80 [1.58,2.00] [1.25,2.36] 2.29 [1.60,2.86] [1.03,4.00]
1150 1.41 [1.01,1.69] [0.68,2.46] 1.75 [1.53,1.94] [1.22,2.33] 2.55 [1.77,3.21] [1.09,4.38]
1152 2.06 [1.48,2.53] [0.99,3.51] 2.98 [2.62,3.35] [2.05,3.85] 2.95 [2.18,3.61] [1.42,4.76]
1153 1.37 [0.98,1.66] [0.65,2.36] 1.91 [1.66,2.14] [1.29,2.53] 1.98 [1.33,2.48] [0.85,3.63]
1156 2.94 [2.21,3.61] [1.43,4.60] 3.80 [3.41,4.19] [2.74,4.86] 4.45 [3.45,5.16] [2.43,7.31]
1157 0.78 [0.57,0.95] [0.36,1.35] 0.77 [0.66,0.85] [0.53,1.05] 1.24 [0.84,1.52] [0.52,2.33]
1159 0.68 [0.49,0.83] [0.31,1.15] 0.66 [0.57,0.73] [0.45,0.90] 0.91 [0.62,1.11] [0.38,1.65]
1167 1.32 [0.97,1.59] [0.65,2.22] 1.81 [1.58,2.04] [1.23,2.39] 1.82 [1.24,2.25] [0.80,3.33]
1190 0.74 [0.53,0.90] [0.32,1.26] 0.80 [0.69,0.89] [0.55,1.07] 1.04 [0.69,1.28] [0.41,1.96]
1192 1.52 [1.09,1.85] [0.75,2.61] 2.08 [1.84,2.31] [1.43,2.72] 2.35 [1.63,2.93] [1.04,4.09]
1196 1.59 [1.15,1.93] [0.80,2.69] 2.20 [1.93,2.46] [1.51,2.90] 2.31 [1.63,2.86] [1.06,3.98]
1197 1.39 [1.00,1.69] [0.67,2.43] 1.79 [1.57,2.00] [1.23,2.37] 2.41 [1.65,3.04] [1.02,4.21]
1200 1.38 [0.99,1.65] [0.66,2.39] 1.75 [1.55,1.96] [1.21,2.33] 2.36 [1.62,2.97] [1.00,4.14]
1204 0.70 [0.50,0.86] [0.31,1.19] 0.75 [0.65,0.84] [0.51,1.02] 0.88 [0.60,1.08] [0.36,1.63]
1213 1.47 [1.07,1.77] [0.74,2.48] 2.04 [1.79,2.30] [1.39,2.67] 2.02 [1.40,2.50] [0.91,3.61]
1218 1.03 [0.77,1.23] [0.50,1.74] 1.25 [1.09,1.39] [0.88,1.65] 1.51 [1.01,1.86] [0.64,2.84]
1221 0.91 [0.66,1.09] [0.41,1.55] 1.10 [0.96,1.22] [0.76,1.47] 1.28 [0.85,1.59] [0.51,2.46]
1235 1.29 [0.95,1.53] [0.64,2.22] 1.55 [1.36,1.72] [1.08,2.06] 2.29 [1.57,2.88] [0.98,4.05]
1244 1.57 [1.11,1.90] [0.75,2.76] 2.06 [1.81,2.30] [1.42,2.72] 2.74 [1.94,3.43] [1.20,4.60]
1279 1.19 [0.89,1.43] [0.59,2.01] 1.50 [1.31,1.66] [1.04,1.98] 1.83 [1.24,2.28] [0.79,3.39]
1288 1.17 [0.87,1.38] [0.58,2.01] 1.30 [1.13,1.44] [0.92,1.74] 2.13 [1.44,2.67] [0.91,3.87]
1291 0.95 [0.72,1.12] [0.47,1.56] 1.05 [0.92,1.15] [0.75,1.37] 1.31 [0.91,1.60] [0.58,2.40]
1298 1.01 [0.75,1.22] [0.48,1.70] 1.32 [1.13,1.48] [0.90,1.76] 1.25 [0.85,1.52] [0.53,2.31]
1303 1.38 [1.02,1.65] [0.71,2.34] 1.71 [1.49,1.92] [1.16,2.28] 2.10 [1.45,2.59] [0.94,3.74]
1306 1.23 [0.90,1.48] [0.60,2.06] 1.61 [1.41,1.81] [1.09,2.14] 1.73 [1.16,2.14] [0.75,3.21]
1318 1.38 [1.01,1.66] [0.69,2.34] 1.84 [1.60,2.06] [1.25,2.45] 2.04 [1.40,2.54] [0.90,3.67]
1382 1.19 [0.89,1.43] [0.59,2.00] 1.55 [1.35,1.74] [1.06,2.04] 1.63 [1.10,2.01] [0.72,3.01]
1384 0.75 [0.56,0.90] [0.37,1.22] 0.74 [0.63,0.84] [0.50,1.02] 0.90 [0.63,1.09] [0.41,1.58]
1385 1.37 [1.00,1.63] [0.68,2.39] 1.56 [1.36,1.74] [1.08,2.08] 2.55 [1.79,3.19] [1.12,4.35]
1390 1.76 [1.25,2.15] [0.86,3.01] 2.46 [2.15,2.78] [1.66,3.27] 2.52 [1.80,3.12] [1.16,4.26]
1396 1.21 [0.90,1.45] [0.60,2.05] 1.52 [1.33,1.70] [1.06,2.01] 1.87 [1.26,2.33] [0.81,3.45]
1406 1.25 [0.92,1.49] [0.62,2.14] 1.51 [1.32,1.68] [1.06,2.00] 2.10 [1.42,2.64] [0.90,3.82]
1416 0.79 [0.57,0.97] [0.34,1.33] 0.91 [0.79,1.02] [0.62,1.22] 1.03 [0.68,1.27] [0.40,1.94]
1419 1.14 [0.85,1.36] [0.56,1.97] 1.30 [1.13,1.43] [0.92,1.72] 2.09 [1.40,2.62] [0.88,3.80]
1425 0.71 [0.50,0.88] [0.30,1.26] 0.75 [0.65,0.84] [0.52,1.02] 1.17 [0.75,1.44] [0.43,2.28]
1432 2.06 [1.45,2.53] [0.95,3.59] 2.78 [2.46,3.08] [1.96,3.61] 3.37 [2.53,4.05] [1.62,5.45]
1439 1.27 [0.94,1.53] [0.63,2.14] 1.68 [1.47,1.88] [1.14,2.21] 1.77 [1.20,2.19] [0.78,3.25]
1440 0.61 [0.42,0.75] [0.26,1.08] 0.55 [0.48,0.62] [0.38,0.77] 0.92 [0.61,1.13] [0.36,1.72]
1446 1.72 [1.22,2.09] [0.84,2.95] 2.35 [2.08,2.62] [1.63,3.06] 2.65 [1.89,3.29] [1.20,4.43]
1447 1.12 [0.84,1.33] [0.56,1.89] 1.31 [1.15,1.45] [0.93,1.72] 1.78 [1.20,2.21] [0.77,3.31]
1449 1.26 [0.94,1.51] [0.63,2.14] 1.57 [1.38,1.75] [1.09,2.06] 2.02 [1.38,2.51] [0.88,3.67]
1452 1.13 [0.84,1.36] [0.56,1.89] 1.42 [1.24,1.58] [0.98,1.86] 1.60 [1.08,1.97] [0.69,2.97]
1456 1.94 [1.38,2.37] [0.92,3.33] 2.69 [2.39,2.99] [1.88,3.49] 3.00 [2.21,3.69] [1.41,4.89]
1458 1.75 [1.24,2.14] [0.84,3.02] 2.39 [2.11,2.66] [1.66,3.13] 2.80 [2.02,3.49] [1.28,4.65]
1467 1.11 [0.84,1.31] [0.55,1.86] 1.28 [1.13,1.42] [0.91,1.69] 1.79 [1.20,2.22] [0.77,3.33]
1468 0.88 [0.66,1.05] [0.44,1.45] 0.87 [0.76,0.97] [0.62,1.16] 1.30 [0.90,1.58] [0.58,2.36]
1472 1.19 [0.89,1.42] [0.58,2.01] 1.45 [1.27,1.60] [1.01,1.92] 1.89 [1.27,2.36] [0.81,3.51]
1492 1.26 [0.92,1.52] [0.60,2.15] 1.66 [1.44,1.86] [1.12,2.22] 1.83 [1.22,2.28] [0.77,3.43]
1515 1.47 [1.08,1.76] [0.75,2.48] 1.90 [1.68,2.12] [1.31,2.50] 2.27 [1.59,2.83] [1.02,3.96]
1533 1.15 [0.86,1.37] [0.57,1.97] 1.34 [1.17,1.49] [0.95,1.77] 2.01 [1.35,2.51] [0.85,3.69]
1540 1.45 [1.05,1.76] [0.72,2.50] 1.93 [1.70,2.15] [1.33,2.53] 2.30 [1.59,2.86] [1.01,4.02]
1541 0.57 [0.37,0.72] [0.23,1.08] 0.50 [0.43,0.56] [0.34,0.71] 1.03 [0.67,1.27] [0.38,2.00]
1551 1.23 [0.93,1.47] [0.64,2.04] 1.51 [1.31,1.69] [1.04,2.00] 1.72 [1.19,2.11] [0.79,3.12]
1552 2.03 [1.44,2.50] [0.96,3.49] 2.90 [2.58,3.23] [2.02,3.72] 3.03 [2.24,3.72] [1.44,4.92]
1558 1.60 [1.14,1.94] [0.79,2.72] 2.23 [1.97,2.50] [1.53,2.92] 2.31 [1.62,2.88] [1.04,4.00]
1559 1.40 [1.02,1.68] [0.70,2.37] 1.79 [1.57,2.00] [1.24,2.34] 2.20 [1.52,2.74] [0.97,3.89]
1561 1.30 [0.96,1.57] [0.63,2.22] 1.69 [1.49,1.89] [1.16,2.24] 2.05 [1.39,2.56] [0.88,3.74]
1567 1.49 [1.08,1.80] [0.73,2.54] 2.00 [1.76,2.24] [1.38,2.62] 2.25 [1.56,2.81] [0.99,3.98]
1574 2.02 [1.45,2.46] [0.97,3.47] 2.74 [2.42,3.06] [1.92,3.55] 3.14 [2.34,3.82] [1.52,5.05]
1578 0.96 [0.72,1.14] [0.46,1.63] 1.07 [0.95,1.17] [0.76,1.40] 1.57 [1.05,1.96] [0.65,2.99]
1579 0.89 [0.67,1.05] [0.44,1.47] 0.90 [0.79,0.99] [0.63,1.18] 1.28 [0.90,1.56] [0.57,2.33]
1580 1.15 [0.87,1.36] [0.58,1.90] 1.37 [1.20,1.52] [0.97,1.79] 1.69 [1.15,2.08] [0.75,3.10]
1586 1.63 [1.17,1.97] [0.80,2.81] 2.15 [1.90,2.39] [1.50,2.83] 2.67 [1.90,3.33] [1.21,4.48]
1590 2.03 [1.43,2.50] [0.94,3.55] 2.73 [2.42,3.02] [1.92,3.57] 3.36 [2.51,4.05] [1.62,5.45]
1601 0.97 [0.74,1.14] [0.49,1.59] 1.01 [0.90,1.12] [0.72,1.33] 1.42 [0.98,1.74] [0.64,2.58]
1604 1.48 [1.08,1.79] [0.75,2.50] 1.98 [1.74,2.22] [1.37,2.59] 2.17 [1.51,2.69] [0.97,3.85]
1606 1.28 [0.94,1.51] [0.62,2.25] 1.44 [1.26,1.59] [1.02,1.92] 2.53 [1.75,3.17] [1.08,4.35]
1609 0.40 [0.25,0.49] [0.16,0.80] 0.32 [0.27,0.36] [0.22,0.47] 0.67 [0.42,0.86] [0.23,1.33]
1611 0.98 [0.74,1.17] [0.48,1.60] 1.17 [1.02,1.30] [0.82,1.56] 1.24 [0.86,1.51] [0.55,2.25]
1614 1.74 [1.24,2.11] [0.85,2.99] 2.33 [2.05,2.61] [1.62,3.08] 2.76 [2.00,3.43] [1.27,4.58]
1623 1.20 [0.90,1.41] [0.61,2.02] 1.36 [1.19,1.51] [0.97,1.80] 2.02 [1.38,2.51] [0.89,3.67]
1625 0.57 [0.37,0.71] [0.23,1.06] 0.48 [0.41,0.54] [0.32,0.68] 0.96 [0.63,1.19] [0.36,1.85]
1626 0.83 [0.62,0.99] [0.41,1.36] 0.88 [0.77,0.97] [0.61,1.16] 1.06 [0.75,1.29] [0.47,1.90]
1628 1.43 [1.04,1.72] [0.70,2.46] 1.82 [1.60,2.02] [1.26,2.39] 2.43 [1.69,3.04] [1.06,4.21]
1642 1.70 [1.22,2.06] [0.84,2.90] 2.35 [2.08,2.62] [1.63,3.06] 2.56 [1.82,3.17] [1.17,4.31]
1646 1.69 [1.20,2.05] [0.82,2.90] 2.31 [2.04,2.58] [1.59,3.04] 2.65 [1.89,3.31] [1.20,4.45]
1651 0.85 [0.63,1.02] [0.40,1.43] 0.92 [0.81,1.02] [0.65,1.22] 1.23 [0.84,1.51] [0.51,2.30]
1652 1.23 [0.90,1.45] [0.60,2.14] 1.42 [1.24,1.57] [1.00,1.88] 2.31 [1.58,2.92] [0.97,4.09]
1653 1.76 [1.25,2.15] [0.85,3.04] 2.42 [2.14,2.69] [1.68,3.15] 2.78 [2.01,3.45] [1.27,4.60]
1655 2.31 [1.66,2.84] [1.08,3.91] 3.25 [2.92,3.61] [2.31,4.09] 3.41 [2.59,4.07] [1.70,5.45]
1656 1.61 [1.15,1.96] [0.79,2.81] 2.11 [1.85,2.36] [1.45,2.79] 2.73 [1.94,3.41] [1.22,4.58]
